measure_id,measure_name,location_id,location_name,cause_id,cause_name,metric_id,metric_name,year,Death Rate,upper,lower
1,Deaths,102,United States of America,344,Neglected tropical diseases and malaria,3,Rate,1980,0.053010997,0.056983422,0.048655105
1,Deaths,102,United States of America,491,Cardiovascular diseases,3,Rate,1980,347.1378207,361.4977998,316.8796006
1,Deaths,102,United States of America,526,Digestive diseases,3,Rate,1980,28.72822816,29.56235064,27.25766216
1,Deaths,102,United States of America,696,Unintentional injuries,3,Rate,1980,19.47073001,19.91180781,18.6926493
1,Deaths,102,United States of America,717,Self-harm and interpersonal violence,3,Rate,1980,22.71349795,22.95407603,22.45710461
1,Deaths,102,United States of America,508,Chronic respiratory diseases,3,Rate,1980,24.66857084,25.37276679,23.34719949
1,Deaths,102,United States of America,653,Skin and subcutaneous diseases,3,Rate,1980,0.775478643,0.810094082,0.712907093
1,Deaths,102,United States of America,688,Transport injuries,3,Rate,1980,24.57364988,24.82434489,24.27433327
1,Deaths,44634,High-middle SDI,542,Neurological disorders,3,Rate,1982,33.12331486,76.08532737,14.31365496
1,Deaths,44634,High-middle SDI,558,Mental disorders,3,Rate,1982,0.002045411,0.002582772,0.001511034
1,Deaths,44634,High-middle SDI,717,Self-harm and interpersonal violence,3,Rate,1982,27.81884314,37.62793632,23.78765826
1,Deaths,44634,High-middle SDI,508,Chronic respiratory diseases,3,Rate,1982,94.03805092,104.1107864,81.25630206
1,Deaths,102,United States of America,344,Neglected tropical diseases and malaria,3,Rate,1981,0.051285309,0.055020807,0.047019459
1,Deaths,44635,High SDI,344,Neglected tropical diseases and malaria,3,Rate,1982,0.084472285,0.15186045,0.0696722
1,Deaths,102,United States of America,526,Digestive diseases,3,Rate,1981,27.8888815,28.71263735,26.39970539
1,Deaths,102,United States of America,696,Unintentional injuries,3,Rate,1981,17.98393047,18.4008076,17.27603015
1,Deaths,102,United States of America,717,Self-harm and interpersonal violence,3,Rate,1981,22.32789467,22.54664542,22.09725343
1,Deaths,44634,High-middle SDI,688,Transport injuries,3,Rate,1982,24.23264111,25.9891888,22.80566567
1,Deaths,44634,High-middle SDI,696,Unintentional injuries,3,Rate,1982,38.19055396,40.72334608,35.98494964
1,Deaths,44635,High SDI,508,Chronic respiratory diseases,3,Rate,1982,33.11902672,34.47501879,31.09800483
1,Deaths,44635,High SDI,526,Digestive diseases,3,Rate,1982,33.52847131,34.85847323,31.76957031
1,Deaths,44635,High SDI,696,Unintentional injuries,3,Rate,1982,22.36175993,22.98813557,21.35528423
1,Deaths,44634,High-middle SDI,491,Cardiovascular diseases,3,Rate,1981,479.8557876,499.9968137,448.5239517
1,Deaths,44634,High-middle SDI,626,Musculoskeletal disorders,3,Rate,1981,1.070172084,1.198461003,0.969211075
1,Deaths,44634,High-middle SDI,640,Other non-communicable diseases,3,Rate,1981,24.20839638,27.50562956,17.17927679
1,Deaths,44634,High-middle SDI,653,Skin and subcutaneous diseases,3,Rate,1981,0.800332887,0.924100008,0.706029268
1,Deaths,44634,High-middle SDI,491,Cardiovascular diseases,3,Rate,1980,487.9229196,509.8569894,456.8000307
1,Deaths,44634,High-middle SDI,961,Other infectious diseases,3,Rate,1981,11.74671936,15.48966504,9.163116996
1,Deaths,44634,High-middle SDI,962,Maternal and neonatal disorders,3,Rate,1981,28.50990121,31.34147979,26.31569973
1,Deaths,44634,High-middle SDI,973,Substance use disorders,3,Rate,1981,7.446375314,7.695195109,7.249799851
1,Deaths,44634,High-middle SDI,974,Diabetes and kidney diseases,3,Rate,1981,24.92770025,27.10158886,23.27547486
1,Deaths,44635,High SDI,491,Cardiovascular diseases,3,Rate,1982,346.2672207,359.1560798,319.7980891
1,Deaths,44635,High SDI,626,Musculoskeletal disorders,3,Rate,1982,1.964534482,2.026403219,1.858270067
1,Deaths,44635,High SDI,640,Other non-communicable diseases,3,Rate,1982,17.23904363,17.83560153,16.2456514
1,Deaths,44635,High SDI,410,Neoplasms,3,Rate,1981,173.4535721,177.5286121,166.2062231
1,Deaths,44635,High SDI,653,Skin and subcutaneous diseases,3,Rate,1982,0.872525997,0.920526789,0.798026731
1,Deaths,44635,High SDI,688,Transport injuries,3,Rate,1982,20.10624475,20.4188994,19.79751348
1,Deaths,44635,High SDI,973,Substance use disorders,3,Rate,1982,3.209090663,3.276070642,3.143654823
1,Deaths,44635,High SDI,974,Diabetes and kidney diseases,3,Rate,1982,21.75404245,22.50888639,20.37014508
1,Deaths,44635,High SDI,955,HIV/AIDS and sexually transmitted infections,3,Rate,1981,0.484083693,0.572916959,0.427980623
1,Deaths,44635,High SDI,956,Respiratory infections and tuberculosis,3,Rate,1981,34.02408727,35.3781211,31.46236899
1,Deaths,44635,High SDI,957,Enteric infections,3,Rate,1981,1.477341103,1.749809224,1.28890299
1,Deaths,44635,High SDI,961,Other infectious diseases,3,Rate,1981,3.352574365,3.90963642,2.954892395
1,Deaths,44635,High SDI,962,Maternal and neonatal disorders,3,Rate,1981,13.61012976,14.23278021,13.15506976
1,Deaths,44639,Middle SDI,626,Musculoskeletal disorders,3,Rate,1981,1.437623926,1.619850382,1.219495712
1,Deaths,44639,Middle SDI,640,Other non-communicable diseases,3,Rate,1981,24.95265747,30.64228645,17.14726196
1,Deaths,44639,Middle SDI,955,HIV/AIDS and sexually transmitted infections,3,Rate,1981,1.561639228,2.528146947,0.981195386
1,Deaths,44639,Middle SDI,956,Respiratory infections and tuberculosis,3,Rate,1981,126.2326159,138.5172579,113.9849385
1,Deaths,44639,Middle SDI,957,Enteric infections,3,Rate,1981,71.35978579,95.14967449,51.74047416
1,Deaths,44639,Middle SDI,961,Other infectious diseases,3,Rate,1981,30.92064897,38.27723987,24.60389209
1,Deaths,44639,Middle SDI,962,Maternal and neonatal disorders,3,Rate,1981,49.44673022,53.40639082,45.71180536
1,Deaths,44639,Middle SDI,973,Substance use disorders,3,Rate,1981,3.445620315,3.838752816,3.09927602
1,Deaths,44639,Middle SDI,974,Diabetes and kidney diseases,3,Rate,1981,42.46966867,47.43268837,39.44709359
1,Deaths,44634,High-middle SDI,410,Neoplasms,3,Rate,1980,175.2109006,188.7991887,163.1491122
1,Deaths,44634,High-middle SDI,626,Musculoskeletal disorders,3,Rate,1980,1.080932928,1.211032639,0.98388642
1,Deaths,44634,High-middle SDI,640,Other non-communicable diseases,3,Rate,1980,24.53315532,27.87890765,17.10717673
1,Deaths,44634,High-middle SDI,653,Skin and subcutaneous diseases,3,Rate,1980,0.808761367,0.951741614,0.695619341
1,Deaths,102,United States of America,410,Neoplasms,3,Rate,1981,167.36168,171.8970968,159.1848578
1,Deaths,44634,High-middle SDI,955,HIV/AIDS and sexually transmitted infections,3,Rate,1980,0.494632152,0.9052001,0.254628026
1,Deaths,44634,High-middle SDI,956,Respiratory infections and tuberculosis,3,Rate,1980,57.51355149,64.24440467,53.06057977
1,Deaths,44634,High-middle SDI,957,Enteric infections,3,Rate,1980,11.41464723,13.94358292,9.175017452
1,Deaths,44635,High SDI,386,Nutritional deficiencies,3,Rate,1980,0.90733167,0.964949344,0.835187571
1,Deaths,44634,High-middle SDI,961,Other infectious diseases,3,Rate,1980,12.11823623,15.37734736,9.595526182
1,Deaths,44634,High-middle SDI,962,Maternal and neonatal disorders,3,Rate,1980,29.18730176,31.97914568,26.9273917
1,Deaths,44634,High-middle SDI,973,Substance use disorders,3,Rate,1980,7.588516279,7.876185138,7.385078146
1,Deaths,44634,High-middle SDI,974,Diabetes and kidney diseases,3,Rate,1980,24.89919347,27.234581,23.19932239
1,Deaths,44635,High SDI,542,Neurological disorders,3,Rate,1980,35.05883784,78.1156845,15.24402913
1,Deaths,44635,High SDI,558,Mental disorders,3,Rate,1980,0.011967189,0.013229523,0.010692492
1,Deaths,102,United States of America,386,Nutritional deficiencies,3,Rate,1981,0.580978008,0.610854176,0.524832526
1,Deaths,102,United States of America,542,Neurological disorders,3,Rate,1981,37.14775206,83.1990617,15.63406612
1,Deaths,102,United States of America,558,Mental disorders,3,Rate,1981,0.010853789,0.012285693,0.009391597
1,Deaths,44635,High SDI,410,Neoplasms,3,Rate,1980,175.0390611,179.0129788,167.8218701
1,Deaths,44635,High SDI,717,Self-harm and interpersonal violence,3,Rate,1980,19.42070505,20.35626724,19.02939636
1,Deaths,44635,High SDI,955,HIV/AIDS and sexually transmitted infections,3,Rate,1980,0.199765085,0.293009532,0.142405483
1,Deaths,44635,High SDI,956,Respiratory infections and tuberculosis,3,Rate,1980,35.1397445,36.59524829,32.53806837
1,Deaths,44635,High SDI,957,Enteric infections,3,Rate,1980,1.585967805,1.888992533,1.382854877
1,Deaths,44635,High SDI,961,Other infectious diseases,3,Rate,1980,3.459185369,4.093021542,3.042467931
1,Deaths,44635,High SDI,962,Maternal and neonatal disorders,3,Rate,1980,14.45270594,15.14562528,13.946851
1,Deaths,44634,High-middle SDI,386,Nutritional deficiencies,3,Rate,1981,2.644290632,2.948223682,2.310842022
1,Deaths,44634,High-middle SDI,526,Digestive diseases,3,Rate,1981,38.39649432,41.92676225,35.28651583
1,Deaths,44634,High-middle SDI,542,Neurological disorders,3,Rate,1981,33.24079191,75.8800324,14.1937318
1,Deaths,44634,High-middle SDI,558,Mental disorders,3,Rate,1981,0.002025225,0.002574094,0.001501514
1,Deaths,102,United States of America,626,Musculoskeletal disorders,3,Rate,1981,1.865123771,1.922674165,1.770518255
1,Deaths,102,United States of America,640,Other non-communicable diseases,3,Rate,1981,16.71858886,17.06466435,16.25671718
1,Deaths,44639,Middle SDI,491,Cardiovascular diseases,3,Rate,1982,397.7996859,427.2985172,368.9824454
1,Deaths,44634,High-middle SDI,717,Self-harm and interpersonal violence,3,Rate,1981,25.25429261,27.02824691,22.96550165
1,Deaths,102,United States of America,955,HIV/AIDS and sexually transmitted infections,3,Rate,1981,0.822925567,0.832512039,0.814143496
1,Deaths,102,United States of America,956,Respiratory infections and tuberculosis,3,Rate,1981,19.67145304,20.69597874,17.76991221
1,Deaths,102,United States of America,957,Enteric infections,3,Rate,1981,0.317346408,0.333748124,0.299455654
1,Deaths,102,United States of America,961,Other infectious diseases,3,Rate,1981,2.505989206,2.55643855,2.437005751
1,Deaths,102,United States of America,962,Maternal and neonatal disorders,3,Rate,1981,13.21639162,13.51883192,12.87027527
1,Deaths,102,United States of America,973,Substance use disorders,3,Rate,1981,3.800827017,3.915184983,3.683822853
1,Deaths,102,United States of America,974,Diabetes and kidney diseases,3,Rate,1981,21.3252273,22.15023658,19.71989075
1,Deaths,44639,Middle SDI,508,Chronic respiratory diseases,3,Rate,1982,148.9571344,165.7911094,125.8067206
1,Deaths,44639,Middle SDI,653,Skin and subcutaneous diseases,3,Rate,1982,1.563060639,2.041441286,1.28751901
1,Deaths,44639,Middle SDI,688,Transport injuries,3,Rate,1982,30.40040942,32.61435557,28.50759444
1,Deaths,44639,Middle SDI,696,Unintentional injuries,3,Rate,1982,45.7650341,49.24207487,42.3212371
1,Deaths,44639,Middle SDI,386,Nutritional deficiencies,3,Rate,1980,13.86891111,15.3331138,12.31389313
1,Deaths,44639,Middle SDI,410,Neoplasms,3,Rate,1980,145.4920726,162.5762695,131.0762242
1,Deaths,44639,Middle SDI,558,Mental disorders,3,Rate,1980,0.000204617,0.000329471,0.000120502
1,Deaths,44634,High-middle SDI,344,Neglected tropical diseases and malaria,3,Rate,1981,0.728919071,1.407964051,0.535597417
1,Deaths,44635,High SDI,344,Neglected tropical diseases and malaria,3,Rate,1981,0.092287064,0.169604078,0.069011864
1,Deaths,44635,High SDI,508,Chronic respiratory diseases,3,Rate,1981,33.31661769,34.80215081,31.21257911
1,Deaths,44639,Middle SDI,344,Neglected tropical diseases and malaria,3,Rate,1982,8.384302167,17.66281104,5.367424435
1,Deaths,44635,High SDI,526,Digestive diseases,3,Rate,1981,34.51132731,35.84454817,32.77206447
1,Deaths,44635,High SDI,696,Unintentional injuries,3,Rate,1981,22.97172738,23.61035552,21.93365204
1,Deaths,44634,High-middle SDI,508,Chronic respiratory diseases,3,Rate,1981,95.93510936,105.1262146,82.28531659
1,Deaths,44639,Middle SDI,526,Digestive diseases,3,Rate,1982,57.26796859,68.68419651,48.88578204
1,Deaths,44639,Middle SDI,542,Neurological disorders,3,Rate,1982,30.50280371,69.78860583,13.1634222
1,Deaths,44634,High-middle SDI,688,Transport injuries,3,Rate,1981,25.14536025,26.7509563,23.75764515
1,Deaths,44634,High-middle SDI,696,Unintentional injuries,3,Rate,1981,39.50463912,41.97319746,37.44190803
1,Deaths,44639,Middle SDI,626,Musculoskeletal disorders,3,Rate,1980,1.438774509,1.602178637,1.232442977
1,Deaths,44639,Middle SDI,640,Other non-communicable diseases,3,Rate,1980,25.19384919,31.27086114,17.09018992
1,Deaths,44639,Middle SDI,955,HIV/AIDS and sexually transmitted infections,3,Rate,1980,1.069705345,2.040674823,0.482018888
1,Deaths,44639,Middle SDI,956,Respiratory infections and tuberculosis,3,Rate,1980,130.168082,142.6906359,116.85385
1,Deaths,44639,Middle SDI,957,Enteric infections,3,Rate,1980,73.77081735,97.85146542,53.35397539
1,Deaths,44639,Middle SDI,717,Self-harm and interpersonal violence,3,Rate,1982,34.85246753,39.08797017,29.9157351
1,Deaths,44639,Middle SDI,961,Other infectious diseases,3,Rate,1980,32.27072504,39.48411082,25.85823324
1,Deaths,44639,Middle SDI,962,Maternal and neonatal disorders,3,Rate,1980,50.24716076,54.25794,46.43588969
1,Deaths,44639,Middle SDI,973,Substance use disorders,3,Rate,1980,3.445250214,3.865299332,3.063241864
1,Deaths,44639,Middle SDI,974,Diabetes and kidney diseases,3,Rate,1980,42.81394802,47.49720499,39.68255562
1,Deaths,44635,High SDI,491,Cardiovascular diseases,3,Rate,1981,356.6344557,369.4288767,329.5184762
1,Deaths,44635,High SDI,626,Musculoskeletal disorders,3,Rate,1981,2.001941908,2.062803701,1.893869631
1,Deaths,44635,High SDI,640,Other non-communicable diseases,3,Rate,1981,17.51806959,18.14777554,16.46497058
1,Deaths,44635,High SDI,653,Skin and subcutaneous diseases,3,Rate,1981,0.860968731,0.905908887,0.789772658
1,Deaths,44635,High SDI,688,Transport injuries,3,Rate,1981,20.85654119,21.17484514,20.56152881
1,Deaths,44635,High SDI,973,Substance use disorders,3,Rate,1981,3.263372616,3.325855169,3.193464792
1,Deaths,44635,High SDI,974,Diabetes and kidney diseases,3,Rate,1981,22.11545268,22.83243287,20.72022384
1,Deaths,44639,Middle SDI,344,Neglected tropical diseases and malaria,3,Rate,1981,8.559722638,18.21616322,5.343565563
1,Deaths,44639,Middle SDI,526,Digestive diseases,3,Rate,1981,58.24832799,69.3409667,49.97730341
1,Deaths,44639,Middle SDI,542,Neurological disorders,3,Rate,1981,30.61169877,69.7716189,12.9183974
1,Deaths,44639,Middle SDI,717,Self-harm and interpersonal violence,3,Rate,1981,29.74531584,32.70761878,24.60511982
1,Deaths,102,United States of America,410,Neoplasms,3,Rate,1983,168.6113187,173.2800023,160.20699
1,Deaths,102,United States of America,626,Musculoskeletal disorders,3,Rate,1983,1.865861497,1.924760591,1.768975553
